symbol,multiplier,period
20MICRONS,1.5,17
21STCENMGM,1.5,17
360ONE,3.0,11
3IINFOLTD,1.5,20
3MINDIA,3.0,9
3PLAND,3.0,18
5PAISA,2.5,9
63MOONS,1.5,7
A2ZINFRA,1.5,8
AAATECH,1.5,20
AAKASH,2.0,21
AAREYDRUGS,3.0,11
AARON,3.0,19
AARTECH,1.5,17
AARTIDRUGS,2.5,9
AARTIIND,3.0,16
AARTIPHARM,2.0,15
AARTISURF,1.5,14
AARVEEDEN,2.5,7
AARVI,1.5,20
AAVAS,2.5,13
ABAN,1.5,9
ABB,2.0,7
ABBOTINDIA,1.5,19
ABCAPITAL,1.5,21
ABFRL,1.5,18
ABMINTLLTD,3.0,14
ABSLAMC,2.5,16
ABSLBANETF,2.0,14
ABSLLIQUID,3.0,7
ABSLNN50ET,3.0,16
ACC,2.0,17
ACCELYA,1.5,19
ACCURACY,1.5,8
ACE,1.5,18
ACEINTEG,1.5,19
ACI,1.5,20
ACL,1.5,9
ACLGATI,3.0,7
ADANIENSOL,1.5,13
ADANIENT,1.5,13
ADANIGREEN,1.5,11
ADANIPORTS,2.0,7
ADANIPOWER,1.5,8
ADFFOODS,3.0,13
ADL,2.5,7
ADORWELD,3.0,13
ADROITINFO,1.5,10
ADSL,1.5,17
ADVANIHOTR,3.0,7
ADVENZYMES,1.5,7
AEGISCHEM,1.5,21
AEROFLEX,3.0,14
AETHER,3.0,19
AFFLE,3.0,17
AGARIND,2.0,7
AGI,1.5,7
AGRITECH,1.5,16
AGROPHOS,1.5,20
AGSTRA,1.5,18
AHL,1.5,10
AHLADA,1.5,18
AHLEAST,3.0,7
AHLUCONT,1.5,17
AIAENG,2.5,13
AIRAN,1.5,15
AIROLAM,3.0,11
AJANTPHARM,3.0,19
AJMERA,1.5,10
AJOONI,1.5,17
AKASH,2.5,12
AKG,1.5,17
AKI,1.5,13
AKSHAR,3.0,20
AKSHARCHEM,1.5,8
AKSHOPTFBR,1.5,14
AKZOINDIA,1.5,21
ALANKIT,1.5,11
ALBERTDAVD,1.5,12
ALEMBICLTD,1.5,11
ALICON,3.0,8
ALKALI,2.5,10
ALKEM,2.5,8
ALKYLAMINE,3.0,7
ALLCARGO,3.0,7
ALLSEC,3.0,8
ALMONDZ,3.0,9
ALOKINDS,1.5,7
ALPA,1.5,7
ALPHAETF,2.0,9
ALPHAGEO,1.5,7
ALPL30IETF,1.5,17
ALPSINDUS,2.5,17
AMBER,3.0,21
AMBICAAGAR,1.5,21
AMBIKCO,2.5,21
AMBUJACEM,3.0,17
AMDIND,1.5,8
AMIORG,3.0,21
AMJLAND,3.0,11
AMNPLST,3.0,7
AMRUTANJAN,2.0,20
ANANDRATHI,3.0,17
ANANTRAJ,1.5,12
ANDHRAPAP,3.0,11
ANDHRSUGAR,2.0,8
ANGELONE,2.0,9
ANIKINDS,2.5,7
ANKITMETAL,3.0,11
ANMOL,2.5,20
ANTGRAPHIC,1.5,7
ANUP,3.0,8
ANURAS,3.0,16
APARINDS,1.5,7
APCL,1.5,17
APCOTEXIND,2.5,7
APEX,1.5,13
APLAPOLLO,2.0,19
APLLTD,3.0,13
APOLLO,2.0,16
APOLLOHOSP,1.5,12
APOLLOPIPE,3.0,19
APOLLOTYRE,3.0,20
APOLSINHOT,1.5,10
APTECHT,1.5,21
APTUS,2.5,14
ARCHIDPLY,3.0,9
ARCHIES,1.5,12
ARE&M,1.5,19
ARENTERP,1.5,9
ARIES,3.0,8
ARIHANTCAP,3.0,9
ARIHANTSUP,1.5,9
ARMANFIN,1.5,7
AROGRANITE,3.0,11
ARROWGREEN,1.5,12
ARSHIYA,1.5,16
ARSSINFRA,1.5,7
ARTEMISMED,2.5,21
ARTNIRMAN,2.5,18
ARVEE,1.5,7
ARVIND,2.0,19
ARVINDFASN,3.0,16
ARVSMART,2.5,8
ASAHIINDIA,1.5,12
ASAHISONG,3.0,19
ASAL,2.5,7
ASALCBR,2.0,18
ASHAPURMIN,1.5,18
ASHIANA,2.5,14
ASHIMASYN,1.5,17
ASHOKA,2.0,11
ASHOKAMET,1.5,13
ASHOKLEY,1.5,8
ASIANENE,2.0,21
ASIANHOTNR,3.0,7
ASIANPAINT,2.5,15
ASIANTILES,1.5,18
ASKAUTOLTD,2.5,20
ASMS,1.5,19
ASPINWALL,2.0,14
ASTEC,1.5,18
ASTERDM,3.0,13
ASTRAL,3.0,7
ASTRAMICRO,3.0,7
ASTRAZEN,3.0,14
ASTRON,2.5,11
ATALREAL,3.0,9
ATAM,1.5,14
ATFL,2.0,7
ATGL,3.0,8
ATL,1.5,18
ATLANTAA,1.5,7
ATUL,3.0,15
ATULAUTO,2.0,10
AUBANK,2.5,12
AURIONPRO,3.0,7
AUROPHARMA,2.0,13
AURUM,3.0,8
AUSOMENT,1.5,17
AUTOAXLES,1.5,21
AUTOBEES,3.0,16
AUTOIETF,2.5,7
AUTOIND,1.5,19
AVADHSUGAR,1.5,9
AVALON,2.5,12
AVANTIFEED,1.5,21
AVG,1.5,15
AVONMORE,1.5,14
AVROIND,2.0,21
AVTNPL,3.0,13
AWHCL,1.5,14
AWL,1.5,8
AXISBANK,1.5,10
AXISBNKETF,1.5,8
AXISBPSETF,3.0,7
AXISCADES,2.0,18
AXISCETF,3.0,12
AXISGOLD,1.5,10
AXISHCETF,2.5,7
AXISILVER,1.5,10
AXISNIFTY,3.0,17
AXISTECETF,2.0,10
AXITA,1.5,18
AXSENSEX,3.0,7
AYMSYNTEX,2.5,12
AZAD,1.5,14
BAFNAPH,1.5,15
BAGFILMS,1.5,13
BAIDFIN,2.5,18
