symbol,multiplier,period,average_success_percentage,average_loss_percentage,percentage,Market Cap cr
TEMBO.NS,2.5,8,18.46247849295826,-4.66243575954058,1145.1865244941712,418.4645888
LAXMICOT.NS,2.0,10,15.914593616668592,-5.7866912184326775,36.43150105953217,67.8534464
ARCHIES.NS,1.5,12,10.589950845269891,-4.634896767918937,2085.3688963623044,104.8193408
VRLLOG.NS,1.5,10,8.16314952443187,-3.3959244368581034,290.1409096832275,5343.012864
GEOJITFSL.NS,1.5,11,14.009054829650621,-5.526320724918199,1310.952873585701,3761.8180096
GODREJIND.NS,2.0,15,14.776677753647611,-3.985549711764736,317682.3006986284,40793.899008
SHEMAROO.NS,3.0,13,15.857379809566591,-5.7510937742816814,418.90230766677854,494.8142592
APOLLOPIPE.NS,3.0,19,15.286795999022416,-4.872208575014985,541.5404429016113,2692.338688
JCHAC.NS,2.0,14,11.346055667643881,-4.709933715222578,7221.853100414276,5911.113728
KITEX.NS,2.0,20,16.87679966747302,-4.234366874880437,2311.8748540763854,2671.3051136
JMFINANCIL.NS,3.0,19,13.77757581041189,-5.733891006301815,1618.7729877681732,11328.5521408
ELIN.NS,2.0,21,13.532913595981887,-4.691324614420999,85.7556901550293,1269.7010176
DLINKINDIA.NS,3.0,8,19.80452335677368,-6.5114317369196435,854.5092193508149,2353.222656
BBTC.NS,1.5,19,12.414506372790916,-3.640395521490985,155108.38628764247,18655.2631296
GRWRHITECH.NS,3.0,16,21.431329870204134,-4.952690508816974,205.14566290283204,8181.4061056
FOODSIN.NS,3.0,7,23.030560594143548,-8.208445537317026,69.5853910446167,1029.1837952
GOLDIAM.NS,3.0,7,20.563911573346793,-5.938879514499516,4051.8964479663373,3623.020544
MONARCH.NS,2.5,16,23.285296527127525,-8.289957957889628,481.3624390411377,3360.68096
QUESS.NS,1.5,10,9.202054358206516,-3.3845296763975097,643.7516364440918,12373.8570752
AADHARHFC.NS,3.0,14,25.92864932910814,0.0,25.857294616699217,18003.9155712
MATRIMONY.NS,1.5,8,6.5734655254742815,-3.4997007311856794,21.83928546142578,1778.83648
VLSFINANCE.NS,1.5,10,16.780747695277444,-5.475313965411501,53224.54321160436,1409.7599488
TI.NS,1.5,16,13.774981173499196,-4.572591713074442,3193.61269094944,5817.890816
AKASH.NS,2.5,12,13.135056259722438,-6.719079886899349,-60.25754954338074,68.5966528
APOLSINHOT.NS,1.5,10,15.171276643563647,-3.6819415089308754,3534.7403605880736,465.1855872
IIFLSEC.NS,1.5,12,16.45582686758668,-4.392348190686866,1155.421149017334,9247.5916288
UGARSUGAR.NS,3.0,17,17.074167554449172,-6.03632441504409,737.1444508714676,991.8000128
BANSALWIRE.NS,1.5,15,21.71380656341186,0.0,21.689096618652343,6873.7441792
GULFPETRO.NS,2.0,21,15.73863962123308,-4.823863641212665,465.28512073898315,420.6247424
PRSMJOHNSN.NS,1.5,16,11.666999148782454,-4.156890375298798,3403.69178696537,8843.9824384
SAKAR.NS,1.5,7,10.563848229990553,-4.287324570380102,35.025868404388426,557.7900544
MAZDOCK.NS,3.0,18,28.87337638566348,-6.557158667699636,1427.7627071380616,89850.3868416
JSWHL.NS,1.5,15,12.547212007403216,-3.819105631776664,25514.47197769165,8417.5609856
CLSEL.NS,1.5,12,7.619972646673635,-3.8886395152191082,16.128848190307618,1249.4840832
MAZDA.NS,3.0,15,14.056475339724171,-4.945873683406753,505.4046131286621,539.3733632
CORALFINAC.NS,1.5,16,13.51339794874026,-4.378566811749528,892.2695852804184,292.7667712
DCW.NS,1.5,12,13.241856058702131,-5.746938379853151,343.2117081844807,2482.58048
PGEL.NS,3.0,13,21.360260264289792,-5.541962554823745,7104.819866119624,14135.9874048
FIEMIND.NS,2.5,20,12.809307163737657,-4.624951980786891,2635.4184556865694,4264.1862656
KANORICHEM.NS,1.5,19,8.344369435526843,-3.888216318781811,61.83397999191285,569.7606144
POLYMED.NS,3.0,13,14.353369237191135,-3.311026372303238,1498.6180359954833,25353.6436224
KINGFA.NS,1.5,8,14.096844685017103,-4.596672907007363,2054.3005060167316,4226.8618752
SHYAMCENT.NS,3.0,7,22.442416525799437,-4.970671419045905,1514.4783499395849,390.3982848
ORIENTCEM.NS,1.5,21,9.727652009298941,-3.4334525260611692,956.4910766181946,6306.8921856
BHARATWIRE.NS,1.5,16,14.566730444010043,-3.9546179185708334,1566.877108701706,2035.328
RAMCOSYS.NS,3.0,13,13.628180579773328,-5.808299376239001,9538.162292915344,1566.7201024
RAYMOND.NS,1.5,12,8.872321887452479,-4.09279441874984,4558.828774742126,14052.4797952
CARTRADE.NS,2.0,15,10.606705369156156,-5.046935918243154,25.107033172607423,4204.767232
LTFOODS.NS,3.0,7,32.086441617167964,0.0,106.83285166931151,14055.1503872
KSCL.NS,3.0,8,12.222506489351103,-4.972449661313453,844.582337726593,5573.7217024
NUVAMA.NS,2.5,10,10.546865104612436,-12.575457400369322,57.43965747070312,24104.7126016
SKYGOLD.NS,3.0,14,32.28325316620528,-4.6825427634796615,481.2750328063965,3750.6789376
JAIBALAJI.NS,1.5,8,18.27187141871222,-4.679021590707592,9279232.260089735,18249.5608832
MANORG.NS,1.5,11,10.631475975528259,-4.284246818221564,69.4947766418457,489.2864512
63MOONS.NS,1.5,7,17.00498537140363,-4.758616791251888,34143.46352184677,1673.3897728
TREJHARA.NS,2.0,17,23.061685568363053,-5.539443467840148,2854.7254329605103,346.3773952
NITIRAJ.NS,2.0,11,11.423422467680938,-3.476379328272827,753.6471375656129,241.8723328
SICALLOG.NS,2.0,7,27.43211054189787,-3.6769510867829,95.75682353210449,953.2951552
GMRP&UI.NS,1.5,12,18.011527710576058,-5.176538567023144,494.69592646026615,10094.198784
FOCUS.NS,3.0,13,11.933255985412139,-3.686040766145851,3700.416983293772,802.9397504
ATULAUTO.NS,2.0,10,11.702513121627097,-4.384723597165002,599.1534083862305,1940.1025536
HEXATRADEX.NS,1.5,14,18.353193532935386,-3.624887210564755,49574.81674360275,2060.1430016
AYMSYNTEX.NS,2.5,11,14.331869313452517,-4.781270815481161,189.22319626808167,759.2953344
SIKKO.NS,3.0,8,17.447354644625552,-6.021840606101863,1164.6681328897475,205.3127936
