Security Code,symbol
511122,1STCUS
,20MICRONS
,21STCENMGM
,360ONE
532067,3BBLACKBIO
544190,3CIT
,3IINFOLTD
,3MINDIA
,3PLAND
,3RDROCK
,5PAISA
,63MOONS
540615,7NR
540874,7SEASL
532404,7TEC
,A2ZINFRA
,AAATECH
544176,AADHARHFC
530621,AAIL
,AAKASH
539096,AANANDALAK
538812,AANCHALISP
543319,AAPLUSTRAD
,AAREYDRUGS
539562,AARNAV
,AARON
542377,AARSHYAM
,AARTECH
,AARTIDRUGS
,AARTIIND
,AARTIPHARM
,AARTISURF
,AARVEEDEN
,AARVI
543346,AASHKA
511764,AASTAFIN
,AAVAS
539528,AAYUSH
,ABAN
,ABB
500488,ABBOTINDIA
,ABCAPITAL
520123,ABCINDQ
,ABFRL
532057,ABHICAP
538935,ABHIFIN
539544,ABHIINFRA
,ABHISHEK
511756,ABIRAFN
,ABMINTLLTD
531161,ABMKNO
,ABSLAMC
530881,ABVL
,ACC
531533,ACCEDERE
517494,ACCEL
543938,ACCELERATE
,ACCELYA
,ACCURACY
,ACE
530669,ACEENGITEC
,ACEINTEG
539661,ACEMEN
531525,ACESOFT
541133,ACFL
536737,ACFSL
505036,ACGL
543499,ACHYUT
,ACI
517356,ACIIN
530043,ACKNIT
,ACL
,ACLGATI
539391,ACME
540146,ACML
513149,ACROW
541144,ACTIVE
,ADANIENSOL
,ADANIENT
,ADANIGREEN
,ADANIPORTS
,ADANIPOWER
538563,ADARSH
523411,ADCINDIA
539506,ADCON
507852,ADDIND
543309,ADESHWAR
,ADFFOODS
539189,ADHBHUTIN
532056,ADIEXRE
514113,ADINATH
543377,ADISHAKTI
513513,ADITYA
521141,ADITYASP
543269,ADJIA
,ADL
524604,ADLINE
511359,ADMANUM
530431,ADORFO
523120,ADORMUL
,ADORWELD
,ADROITINFO
,ADSL
543230,ADVAIT
,ADVANIHOTR
,ADVENZYMES
539773,ADVIKCA
521048,ADVLIFE
,AEGISCHEM
500003,AEGISLOG
539196,AEL
542670,AEPL
,AEROFLEX
534733,AERPACE
,AETHER
538351,AFEL
,AFFLE
541402,AFFORDABLE
,AGARIND
530765,AGARWAL
,AGI
539042,AGIIL
542579,AGOL
,AGRITECH
,AGROPHOS
,AGSTRA
543941,AHASOLAR
,AHL
,AHLADA
,AHLEAST
,AHLUCONT
,AHLWEST
522273,AHMDSTE
,AIAENG
,AIFL
542524,AIHL
539177,AIIL
544072,AIKPIPES
534064,AIML
,AIRAN
,AIROLAM
,AJANTPHARM
519216,AJANTSOY
511692,AJCON
530713,AJEL
,AJMERA
,AJOONI
,AJRINFRA
526628,AJWAFUN
,AKASH
530499,AKCAPIT
,AKG
,AKI
540718,AKM
,AKSHAR
,AKSHARCHEM
,AKSHOPTFBR
539300,AKSPINTEX
,AKZOINDIA
539115,ALAN SCOTT
,ALANKIT
,ALBERTDAVD
,ALCHEM
,ALEMBICLTD
511463,ALEXANDER
530973,ALFAICA
517546,ALFATRAN
531156,ALFAVIO
538952,ALFL
505216,ALFREDHE
,ALICON
,ALKALI
,ALKEM
543453,ALKOSIGN
,ALKYLAMINE
,ALLCARGO
,ALLSEC
,ALMONDZ
506120,ALNATRD
,ALOKINDS
,ALPA
,ALPHAGEO
543937,ALPHAIND
542770,ALPHALOGIC
526519,ALPINEHOU
,ALPSINDUS
535916,ALSL
539277,ALSTONE
501622,AMALGAM
521097,AMARJOTHI
538863,AMARNATH
538465,AMARSEC
500009,AMBALALSA
519471,AMBARPIL
,AMBER
,AMBICAAGAR
,AMBIKCO
526439,AMBIT
543678,AMBOAGRI
,AMBUJACEM
530133,AMCOIND
,AMDIND
531681,AMERISE
513117,AMFORG
544037,AMIC
541771,AMINTAN
,AMIORG
531300,AMITINT
,AMJLAND
544169,AMKAY
,AMNPLST
531991,AMRAAGRI
539265,AMRAFIN
526241,AMRAPLIN
,AMRUTANJAN
534612,AMTL
501630,ANANDPROJ
,ANANDRATHI
,ANANTRAJ
,ANDHRAPAP
,ANDHRSUGAR
526173,ANDREWYU
540694,ANG
541006,ANGEL
,ANGELONE
,ANIKINDS
531223,ANJANI
531878,ANJANIFIN
511153,ANJANIFOODS
531673,ANKIN
,ANKITMETAL
,ANMOL
530799,ANNAINFRA
,ANSALAPI
523007,ANSALBU
507828,ANSALHSG
512091,ANSHNCO
531406,ANSINDUS
501270,ANTARIKSH
,ANTGRAPHIC
506260,ANUHPHR
,ANUP
530109,ANUPAM
,ANURAS
542865,ANUROOP
,APARINDS
,APCL
,APCOTEXIND
,APEX
523896,APIL
506166,APIS
517096,APLAB
,APLAPOLLO
,APLLTD
523537,APMIN
,APOLLO
512437,APOLLOFI
,APOLLOHOSP
,APOLLOPIPE
,APOLLOTYRE
,APOLSINHOT
539545,APOORVA
506979,APTPACK
,APTUS
505725,AQFINTECH
512344,ARAVALIS
520121,ARCEEIN
540135,ARCFIN
,ARCHIDPLY
,ARCHIES
,ARCOTECH
,ARE&M
,ARENTERP
526851,AREXMIS
,ARIES
530267,ARIGATO
531381,ARIHANT
,ARIHANTCAP
,ARIHANTSUP
