Time,close,signal,Symbol,Market Cap cr,Profit %
2024-06-03,3020.64990234375,Buy,RELIANCE,2044942.0,7885.434740584374%
2024-06-03,219.9499969482422,Buy,RELIGARE,7248.0,463.79104334449767%
2024-06-03,3.3499999046325684,Sell,RHFL,162.0,3586.1426307967904%
2024-06-03,179.8000030517578,Buy,RHL,313.0,35.524540481567385%
2024-06-03,430.8999938964844,Buy,RISHABH,1646.0,11.799012237548828%
2024-06-03,724.5999755859375,Sell,RITES,17407.0,376.417827545166%
2024-06-03,709.2999877929688,Buy,RKFORGE,12821.0,767.1065165143012%
2024-06-03,689.7999877929688,Sell,ROSSARI,-1.0,27.160265747070312%
2024-06-03,1460.5,Sell,ROUTE,9129.0,386.8943499755859%
2024-06-03,25.75,Buy,RPOWER,10348.0,3952.590552182078%
2024-06-03,655.3499755859375,Sell,RPSGVENT,2169.0,390.3063288345337%
2024-06-03,437.3500061035156,Sell,RSYSTEMS,5191.0,2129.8771726937293%
2024-06-03,20.100000381469727,Sell,RTNPOWER,10777.0,7059.895530240177%
2024-06-03,9.350000381469727,Buy,SABEVENTS,9.07,75.11199792098999%
2024-06-03,27.549999237060547,Buy,SAGARDEEP,47.0,3105.4408161621095%
2024-06-03,219.8000030517578,Sell,SAGCEM,2870.0,-80.59917906570433%
2024-06-03,368.04998779296875,Sell,SAHYADRI,403.0,8.113388214111328%
2024-06-03,166.35000610351562,Buy,SAIL,68755.0,1111.091090379715%
2024-06-03,32.650001525878906,Sell,SAKUMA,-1.0,-4.069217845797539%
2024-06-03,734.2000122070312,Buy,SALZERELEC,1273.0,180.88199657058718%
2024-06-03,27.549999237060547,Buy,SAMPANN,110.0,-86.43529245209693%
2024-06-03,532.4500122070312,Sell,SANDUMA,8629.0,138.37117208862304%
2024-06-03,93.55000305175781,Sell,SANGHIIND,2413.0,789.6010130138397%
2024-06-03,1044.199951171875,Sell,SANSERA,5593.0,31.32466613769531%
2024-06-03,1422.75,Sell,SAPPHIRE,9054.0,14.058502624511718%
2024-06-03,499.8999938964844,Sell,SBCL,2880.0,153.4871516723633%
2024-06-03,82.44999694824219,Sell,SBFC,8850.0,-13.797646911621095%
2024-06-03,121.25,Buy,SBGLP,2097.0,111.15412908554076%
2024-06-03,705.2000122070312,Buy,SBICARD,67072.0,11.887403686523438%
2024-06-03,4509.39990234375,Buy,SCHAEFFLER,70533.0,5240.216040358543%
2024-06-03,719.7000122070312,Buy,SCHNEIDER,17231.0,267.4170157546997%
2024-06-03,259.20001220703125,Sell,SCI,12078.0,8940.186614521026%
2024-06-03,867.4500122070312,Sell,SENCO,6730.0,86.73861254882812%
2024-06-03,18.850000381469727,Sell,SEPC,2660.0,14626.41248293233%
2024-06-03,83.55000305175781,Buy,SERVOTECH,1777.0,6412.156807809472%
2024-06-03,62.540000915527344,Sell,SETFGOLD,0.0,13.846608074188232%
2024-06-03,644.4500122070312,Sell,SHAILY,2953.0,-42.954477737426764%
2024-06-03,149.10000610351562,Sell,SHALPAINTS,1246.0,574.3709506034851%
2024-06-03,1560.5,Buy,SHAREINDIA,6106.0,94.9096665725708%
2024-06-03,483.1499938964844,Sell,SHILPAMED,4732.0,1325.844931362152%
2024-06-03,186.75,Sell,SHK,2586.0,-7.443000576019287%
2024-06-03,725.9000244140625,Sell,SHOPERSTOP,7988.0,-43.01457791137695%
2024-06-03,1929.75,Sell,SHRIPISTON,8501.0,-87.41551091003417%
2024-06-03,7274.0,Buy,SIEMENS,-1.0,11695.518686695099%
2024-06-03,91.73999786376953,Sell,SILVERIETF,0.0,7.944210777282715%
2024-06-03,311.0,Sell,SIRCA,1710.0,394.7798252182007%
2024-06-03,413.54998779296875,Buy,SIS,5963.0,-54.07672048950195%
2024-06-03,728.6500244140625,Sell,SJS,2260.0,6.051126159667969%
2024-06-03,143.14999389648438,Sell,SJVN,56356.0,100.63728793334961%
2024-06-03,1210.1500244140625,Buy,SKYGOLD,1598.0,442.3409616699219%
2024-06-03,1937.0,Sell,SOBHA,18346.0,5514.7658776474%
2024-06-03,407.45001220703125,Sell,SOLARA,1958.0,632.0129389190674%
2024-06-03,722.0,Sell,SOMANYCERA,2924.0,285.6582079572678%
2024-06-03,658.5499877929688,Sell,SONACOMS,38650.0,44.34698529052735%
2024-06-03,27.75,Sell,SOUTHBANK,7260.0,3407.867361650586%
2024-06-03,103.6500015258789,Sell,SOUTHWEST,290.0,149.09292382717132%
2024-06-03,28.149999618530273,Buy,SPCENET,1546.0,32.27139678706229%
2024-06-03,211.60000610351562,Sell,SSWL,3318.0,3759.2829530715944%
2024-06-03,858.9500122070312,Sell,STAR,7882.0,5014.740575420379%
2024-06-03,632.2000122070312,Sell,STEELCAS,1281.0,-27.353698303222657%
2024-06-03,12.949999809265137,Buy,STEELXIND,1538.0,2500.034675549984%
2024-06-03,374.8999938964844,Buy,STERTOOLS,1351.0,-77.4612095527649%
2024-06-03,126.8499984741211,Sell,STLTECH,6190.0,104441.19170822334%
2024-06-03,1573.800048828125,Sell,STYLAMIND,2678.0,34.83173077392578%
2024-06-03,506.95001220703125,Sell,SULA,4280.0,10.606234954833985%
2024-06-03,265.04998779296875,Sell,SUNDARMHLD,5887.0,51.79373118209839%
2024-06-03,1225.0999755859375,Sell,SUNDRMFAST,25691.0,236.96003974819183%
2024-06-03,1453.050048828125,Sell,SUNPHARMA,348552.0,12590.027001405477%
2024-06-03,472.45001220703125,Sell,SUNTECK,6919.0,532.4556346740723%
2024-06-03,672.5999755859375,Buy,SUNTV,26494.0,-37.27614937591553%
2024-06-03,5567.2998046875,Buy,SUPREMEIND,70597.0,1173.5357424871922%
2024-06-03,359.25,Sell,SUPRIYA,2896.0,-0.07309950256347655%
